subject_id,x,y
S501,-7.368241261645415,0.37371461287438723
S502,-3.6778039307054007,1.0593771151655837
S503,-6.881784185901236,2.3239647258313285
S504,-6.066316120397359,-1.7156520462897689
S505,-6.119708445299668,1.0359735061921493
S506,-0.7081641065613723,10.542379198432982
S507,5.15221462101542,-7.400024251698357
S508,-6.832158383537604,-0.7060013596099769
S509,-6.009620186235158,2.2466649176252655
S510,-0.496290207487447,-3.2719883476477483
S511,-5.127718330858203,0.5038180127392468
S512,8.664356104129348,11.812850048367096
S513,-6.9634613942179575,0.9091098331181516
S514,13.899189627121633,7.312088332520503
S515,-3.9203427944104106,-2.1150898704541796
S516,-4.065552827155692,1.6588435464369908
S517,-7.241836095205125,-0.01228444100625202
S518,1.8796304724986959,-4.290329335939584
S519,-5.5989321882637055,-0.4057160347132705
S520,15.113785852060337,-4.864908800249864
S521,-3.123404678195513,-3.1397249428754153
S522,-7.253310470933676,0.6832335740002796
S523,9.847212573276728,-0.7013136662693944
S524,-0.9813714406849754,-2.2071096080687624
S525,7.601022538308816,10.667295340446431
S526,-5.040708145615826,-0.17808925355714292
S527,11.986763287042542,-3.92620358518203
S528,13.066929640229269,17.161941679596506
S529,1.9888550160266012,1.463659740780613
S530,-1.87241404712039,0.8231763853339185
S531,-0.0180761391244131,-0.11163864072360218
S532,-2.707770394836129,0.6874319318989139
S533,8.252845347567863,18.421225225881948
S534,1.111654267011941,4.131645493329693
S535,-2.1112201999178795,-0.15898259961037822
S536,1.017026037422962,8.999464330571918
S537,4.566643443124563,3.3111843476257317
S538,8.185332479836589,-2.477320856983247
S539,4.762583704475734,-7.940811371110648
S540,1.5757575518659794,-0.5623412789930609
S541,3.5859849795253504,-3.125285566365949
S542,-0.9446330432746703,-0.3383313310672647
S543,9.64312904485831,4.198424379354669
S544,12.475878566994096,11.066920972270506
S545,-1.7568470155275526,1.9650667778195072
S546,-5.423207907863456,-1.0759051719951962
S547,1.7015554206403587,-4.5795090023245875
S548,7.147729640472072,3.365804213731289
S549,2.7251922432924407,1.6478742572833505
